--------------------------------------------------------------
COPYRIGHT
--------------------------------------------------------------
Source Website |Crawled Website |Source Owner(s) |Provenance 

http://www.mzv.sk |www.mzv.sk |Ministry of Foreign and European Affairs of the Slovak Republic |Slovakia
http://www.dgojuego.minhap.gob.es |www.dgojuego.minhap.gob.es |Ministerio de Hacienda y Administraciones Públicas |Spain
http://mdds.culturanorte.pt |www.culturanorte.pt |Direção Regional de Cultura do Norte |Portugal
http://eap.bl.uk |www.bl.uk |The British Library |United Kingdom
http://www.seap.minhap.gob.es |www.seap.minhap.gob.es |Secretaría de Estado de Administraciones Públicas , Ministerio de Hacienda y Administraciones Públicas |Spain
https://www.madrid.embaixadaportugal.mne.pt |www.madrid.embaixadaportugal.mne.pt |Ministério dos Negócios Estrangeiros |Portugal
http://www.poliziastato.it |www.poliziastato.it |Polizia di Stato, Ministero dell’Interno |Italy
http://museovirtual.dipgra.es |www.dipgra.es |Diputación de Granada |Spain
http://www.larioja.org |www.larioja.org |Gobierno de la Rioja |Spain
http://www.basalan.bizkaia.eus |www.bizkaia.eus |Diputación Foral de Bizkaia |Spain
https://transparencia.dipcas.es |www.dipcas.es |Diputació de Castelló |Spain
http://www.conselldemallorca.net |www.conselldemallorca.net |Consell de Mallorca.net |Spain
http://www.ine.es |www.ine.es |Instituto Nacional de Estadística |Spain
http://www.quirinale.it |www.quirinale.it |Presidenza della Repubblica |Italy
http://garbiker.bizkaia.eus |www.bizkaia.eus |Diputación Foral de Bizkaia |Spain
http://www.sligococo.ie |www.sligococo.ie |Sligo county council |Ireland
http://www.bizkaikoa.bizkaia.eus |www.bizkaia.eus |Diputación Foral de Bizkaia |Spain
http://www.agenciatributaria.es |www.agenciatributaria.es |Agencia Tributaria, Gobierno de España |Spain
http://www.ivdp.pt |www.ivdp.pt |Instituto dos Vinhos do Douro e do Porto, I. P. |Portugal
http://ivdp.pt |www.ivdp.pt |Instituto dos Vinhos do Douro e do Porto, I. P. |Portugal
http://www.agenciaidea.es |www.agenciaidea.es |Consejería de Empleo, Empresa y Comercio, Junta de Andalucía |Spain
http://www.mybilbaobizkaia.eus |www.bizkaia.eus |Diputación Foral de Bizkaia |Spain
http://aragonparticipa.aragon.es |www.aragon.es |Gobierno de Aragón |Spain
http://www.dgsfp.mineco.es |www.dgsfp.mineco.es |Dirección General de Seguros y Fondos de Pensiones |Spain
http://basalan.bizkaia.eus |www.bizkaia.eus |Diputación Foral de Bizkaia |Spain
http://www.idi.mineco.gob.es |www.mineco.gob.es |Ministerio de Economía y Competitividad |Spain
http://www.sidradeasturias.es |www.asturias.es |Gobierno del Principado de Asturias |Spain
http://bicbizkaia.eus |www.bizkaia.eus |Diputación Foral de Bizkaia |Spain
http://ecagricolas-moodle.dival.es |www.dival.es |Diputació de València |Spain
http://palazzo.quirinale.it |www.quirinale.it |Presidenza della Repubblica |Italy
http://www.msssi.gob.es |www.msssi.gob.es |Ministerio de Sanidad, Servicios Sociales e Igualdad |Spain
http://www.jgpa.es |www.jgpa.es |Junta General del Principado de Asturias |Spain
http://www.lantik.bizkaia.eus |www.bizkaia.eus |Diputación Foral de Bizkaia |Spain
http://museoak.bizkaia.eus |www.bizkaia.eus |Diputación Foral de Bizkaia |Spain
http://www.aecosan.msssi.gob.es |www.aecosan.msssi.gob.es |Agencia española de consumo, seguridad alimentaria y nutrición |Spain
http://sede.minetur.gob.es |www.minetur.gob.es |Ministerio de Industria, Energía y Turismo |Spain
http://www.aragon.es |www.aragon.es |Gobierno de Aragón |Spain
https://www.asturias.es |www.asturias.es |Gobierno del Principado de Asturias |Spain
http://www.spanien.diplo.de |www.spanien.diplo.de |German Foreign Ministry |Germany
http://www.csd.gob.es |www.csd.gob.es |Consejo Superior de Deportes, Ministerio de Educación, Cultura y Deporte |Spain
http://beaz.bizkaia.eus |www.bizkaia.eus |Diputación Foral de Bizkaia |Spain
http://appweb02.agenciaidea.es |www.agenciaidea.es |Consejería de Empleo, Empresa y Comercio, Junta de Andalucía |Spain
http://www.turismodeportugal.pt |www.turismodeportugal.pt |Turismo de Portugal, I.P. |Portugal
http://ine.es |www.ine.es |Instituto Nacional de Estadística |Spain
http://asambleamadrid.es |www.asambleamadrid.es |Asamblea de Madrid |Spain
http://www.asambleamadrid.es |www.asambleamadrid.es |Asamblea de Madrid |Spain
https://www.agenciaidea.es |www.agenciaidea.es |Consejería de Empleo, Empresa y Comercio, Junta de Andalucía |Spain
http://www.catastro.meh.es |www.catastro.meh.es |Dirección General del Catastro |Spain
https://sede.minetur.gob.es |www.minetur.gob.es |Ministerio de Industria, Energía y Turismo |Spain
http://www.carabinieri.it |www.carabinieri.it |Ministero della Difesa |Italy
http://bizkaikoa.bizkaia.eus |www.bizkaia.eus |Diputación Foral de Bizkaia |Spain
http://www.aeval.es |www.aeval.es |Agencia Estatal de Evaluación de las Políticas Públicas y la Calidad de los Servicios |Spain
http://dppireland.ie |www.dppireland.ie |Director of Public Prosecutions |Ireland
http://www.mecd.gob.es |www.mecd.gob.es |Ministerio de Educación, Cultura y Deporte |Spain
http://www.aecid.es |www.aecid.es |Agencia Española de Cooperación Internacional para el Desarrollo, Ministerio de Asuntos Exteriores y Cooperación |Spain
http://presidenti.quirinale.it |www.quirinale.it |Presidenza della Repubblica |Italy
